cve_id,arm,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1,fk_grade_summary,fk_grade_nvd,dc_score_summary,dc_score_nvd,word_count
CVE-2020-8010,baseline,0.22099447513812154,0.16666666666666666,0.19337016574585636,0.8253905177116394,0.9230923652648926,0.871511697769165,13.352039790996788,10.864444444444448,12.114812218649517,13.732344444444447,315
CVE-2020-8010,persona,0.21978021978021975,0.16022099447513813,0.18681318681318682,0.813094973564148,0.9213194251060486,0.8638306856155396,12.462948717948716,10.864444444444448,11.682707692307693,13.732344444444447,317
CVE-2023-50919,baseline,0.33729216152019004,0.27684964200477324,0.2897862232779097,0.8310257196426392,0.936861515045166,0.8807756304740906,9.418548085901026,2.37466666666667,12.795975443510738,16.295636666666667,313
CVE-2023-50919,persona,0.20614035087719296,0.07929515418502202,0.14912280701754385,0.8062659502029419,0.8922439813613892,0.8470788598060608,11.133939075630252,2.37466666666667,12.51256330532213,16.295636666666667,366
CVE-2023-29119,baseline,0.11805555555555555,0.06993006993006994,0.08333333333333334,0.7955814599990845,0.9141002893447876,0.8507328629493713,15.539868648461809,16.462500000000002,12.387181783615624,16.2726,269
CVE-2023-29119,persona,0.11074918566775244,0.05901639344262295,0.07166123778501629,0.7971678376197815,0.9126253128051758,0.8509983420372009,15.08099823321555,16.462500000000002,11.61322979976443,16.2726,288
CVE-2021-23894,baseline,0.20555555555555555,0.15083798882681562,0.15,0.8186466097831726,0.9147580862045288,0.864037811756134,14.932811059907834,19.170853658536583,12.27323732718894,15.436714634146343,315
CVE-2021-23894,persona,0.18414322250639387,0.12853470437017994,0.15345268542199492,0.813321053981781,0.9085402488708496,0.8582978248596191,15.882654867256637,19.170853658536583,12.102953732697982,15.436714634146343,344
CVE-2024-21887,baseline,0.21311475409836067,0.13736263736263735,0.16393442622950818,0.8240511417388916,0.928139328956604,0.8730036020278931,14.663014861995752,13.571428571428577,12.899610686482662,14.591452380952381,318
CVE-2024-21887,persona,0.18886198547215496,0.12165450121654502,0.14527845036319614,0.8133634924888611,0.9253793358802795,0.8657631874084473,13.74202077562327,13.571428571428577,12.011253684210528,14.591452380952381,366
CVE-2021-26084,baseline,0.305,0.17587939698492464,0.22999999999999998,0.8182440400123596,0.9044225811958313,0.8591777086257935,11.752254098360655,8.545795454545456,12.054932786885246,12.877318181818183,312
CVE-2021-26084,persona,0.2733485193621868,0.16933638443935928,0.1867881548974943,0.8127743601799011,0.9011881947517395,0.8547008633613586,11.868629737609332,8.545795454545456,11.9043009718173,12.877318181818183,353
CVE-2024-3400,baseline,0.23214285714285715,0.14349775784753363,0.15625,0.814255952835083,0.906603217124939,0.8579517006874084,15.249649122807021,20.57412280701754,12.952584795321638,14.468696491228071,384
CVE-2024-3400,persona,0.22964509394572025,0.13836477987421383,0.1210855949895616,0.8083380460739136,0.9092108607292175,0.8558123111724854,14.88539342076017,20.57412280701754,12.665944054234274,14.468696491228071,416
CVE-2021-42013,baseline,0.34979423868312753,0.18181818181818182,0.21810699588477364,0.8266662359237671,0.8978498578071594,0.860788881778717,12.562140326975477,7.949011627906977,11.946877983651227,11.513886046511628,372
CVE-2021-42013,persona,0.3295019157088123,0.16153846153846155,0.2068965517241379,0.8255196809768677,0.8968225717544556,0.8596951961517334,11.862574595055417,7.949011627906977,11.714743222506394,11.513886046511628,415
CVE-2020-8958,baseline,0.1937046004842615,0.12652068126520682,0.13075060532687652,0.8078125715255737,0.9056761264801025,0.8539496660232544,13.0452541544477,6.621548387096777,12.216467025089607,14.640471612903225,346
