cve_id,arm,n_passes,mean_score,sd_score,scores
CVE-2020-8010,baseline,3,3.0,0.0,"[3, 3, 3]"
CVE-2020-8010,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8010,persona,3,3.6666666666666665,0.5773502691896258,"[3, 4, 4]"
CVE-2020-8260,baseline,3,3.3333333333333335,0.5773502691896258,"[3, 3, 4]"
CVE-2020-8260,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8260,persona,3,3.0,0.0,"[3, 3, 3]"
CVE-2020-8655,baseline,3,3.0,0.0,"[3, 3, 3]"
CVE-2020-8655,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8655,persona,3,3.0,0.0,"[3, 3, 3]"
CVE-2020-8958,baseline,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8958,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2020-8958,persona,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-21974,baseline,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-21974,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-21974,persona,3,4.0,0.0,"[4, 4, 4]"
CVE-2021-22204,baseline,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-22204,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-22204,persona,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-22717,baseline,3,4.0,0.0,"[4, 4, 4]"
CVE-2021-22717,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-22717,persona,3,4.0,0.0,"[4, 4, 4]"
CVE-2021-23894,baseline,3,4.0,0.0,"[4, 4, 4]"
CVE-2021-23894,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-23894,persona,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-26084,baseline,3,3.6666666666666665,0.5773502691896258,"[4, 4, 3]"
CVE-2021-26084,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-26084,persona,3,3.3333333333333335,0.5773502691896258,"[3, 3, 4]"
CVE-2021-30970,baseline,3,4.0,0.0,"[4, 4, 4]"
CVE-2021-30970,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-30970,persona,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-37976,baseline,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-37976,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-37976,persona,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-42013,baseline,3,4.0,0.0,"[4, 4, 4]"
CVE-2021-42013,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-42013,persona,3,4.0,0.0,"[4, 4, 4]"
CVE-2022-28810,baseline,3,3.0,0.0,"[3, 3, 3]"
CVE-2022-28810,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2022-28810,persona,3,4.0,0.0,"[4, 4, 4]"
CVE-2022-3062,baseline,3,5.0,0.0,"[5, 5, 5]"
CVE-2022-3062,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2022-3062,persona,3,5.0,0.0,"[5, 5, 5]"
CVE-2022-40765,baseline,3,3.0,0.0,"[3, 3, 3]"
CVE-2022-40765,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2022-40765,persona,3,3.0,0.0,"[3, 3, 3]"
CVE-2023-0157,baseline,3,4.0,0.0,"[4, 4, 4]"
CVE-2023-0157,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-0157,persona,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-21608,baseline,3,3.0,0.0,"[3, 3, 3]"
CVE-2023-21608,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-21608,persona,3,3.0,0.0,"[3, 3, 3]"
CVE-2023-29119,baseline,3,4.0,0.0,"[4, 4, 4]"
CVE-2023-29119,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-29119,persona,3,4.0,0.0,"[4, 4, 4]"
CVE-2023-43661,baseline,3,4.333333333333333,0.5773502691896258,"[4, 5, 4]"
CVE-2023-43661,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-43661,persona,3,4.666666666666667,0.5773502691896258,"[5, 5, 4]"
CVE-2023-44221,baseline,3,3.0,0.0,"[3, 3, 3]"
CVE-2023-44221,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-44221,persona,3,3.0,0.0,"[3, 3, 3]"
CVE-2023-50919,baseline,3,3.0,0.0,"[3, 3, 3]"
CVE-2023-50919,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-50919,persona,3,3.0,0.0,"[3, 3, 3]"
CVE-2024-1781,baseline,3,5.0,0.0,"[5, 5, 5]"
CVE-2024-1781,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2024-1781,persona,3,4.0,0.0,"[4, 4, 4]"
CVE-2024-21887,baseline,3,3.0,0.0,"[3, 3, 3]"
CVE-2024-21887,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2024-21887,persona,3,3.0,0.0,"[3, 3, 3]"
CVE-2024-3400,baseline,3,3.0,0.0,"[3, 3, 3]"
CVE-2024-3400,nvd,3,5.0,0.0,"[5, 5, 5]"
CVE-2024-3400,persona,3,4.0,0.0,"[4, 4, 4]"
