cve_id,arm,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1,dc_score_summary,dc_score_nvd,word_count
CVE-2020-8010,baseline,0.2572347266881029,0.1423948220064725,0.19935691318327975,0.8233001232147217,0.9166130423545837,0.8674542903900146,11.622049773755656,13.732344444444447,263
CVE-2020-8010,persona,0.26229508196721313,0.2046204620462046,0.24262295081967214,0.8298192024230957,0.9238340258598328,0.8743064999580383,12.070238582677167,13.732344444444447,257
CVE-2023-50919,baseline,0.20936639118457298,0.08864265927977838,0.13223140495867772,0.824852705001831,0.8894312381744385,0.8559256196022034,12.64179696969697,16.295636666666667,278
CVE-2023-50919,persona,0.208,0.07506702412868632,0.128,0.8239012360572815,0.8911029696464539,0.8561854958534241,12.319340833333333,16.295636666666667,291
CVE-2023-29119,baseline,0.13675213675213674,0.07758620689655173,0.09401709401709402,0.8055411577224731,0.9130285382270813,0.8559234142303467,12.166472322274881,16.2726,214
CVE-2023-29119,persona,0.10921501706484642,0.06872852233676977,0.0750853242320819,0.7866706848144531,0.9100509881973267,0.8438749313354492,11.891532056389826,16.2726,251
CVE-2021-23894,baseline,0.23920265780730895,0.1605351170568562,0.17940199335548174,0.8313125371932983,0.9190868735313416,0.8729990124702454,12.595612727272728,15.436714634146343,253
CVE-2021-23894,persona,0.22492401215805474,0.15902140672782875,0.1641337386018237,0.83055180311203,0.9179105758666992,0.8720487356185913,12.535378361925844,15.436714634146343,281
CVE-2024-21887,baseline,0.23602484472049692,0.15,0.15527950310559008,0.8240172863006592,0.9255867600440979,0.8718538284301758,12.158052082438815,14.591452380952381,277
CVE-2024-21887,persona,0.21203438395415472,0.138328530259366,0.1489971346704871,0.8204076290130615,0.9256578683853149,0.8698605895042419,11.724633333333335,14.591452380952381,303
CVE-2021-26084,baseline,0.3471074380165289,0.2382271468144044,0.25895316804407714,0.8379403948783875,0.9311674237251282,0.8820975422859192,11.323877777777778,12.877318181818183,273
CVE-2021-26084,persona,0.31853785900783294,0.22572178477690288,0.20887728459530025,0.8355319499969482,0.9286297559738159,0.8796243667602539,11.542872413793102,12.877318181818183,293
CVE-2024-3400,baseline,0.28729281767955805,0.1611111111111111,0.16574585635359118,0.83000648021698,0.9151752591133118,0.8705126643180847,12.754966666666666,14.468696491228071,299
CVE-2024-3400,persona,0.32386363636363635,0.2342857142857143,0.17613636363636365,0.8365698456764221,0.9302123785018921,0.8809095025062561,12.548003962703964,14.468696491228071,289
CVE-2021-42013,baseline,0.3590909090909091,0.1643835616438356,0.21363636363636365,0.8353983163833618,0.8974754214286804,0.8653250336647034,11.78540239251664,11.513886046511628,330
CVE-2021-42013,persona,0.3923444976076555,0.17788461538461536,0.21531100478468898,0.8371570110321045,0.8960562944412231,0.865605890750885,11.753483006535948,11.513886046511628,309
CVE-2020-8958,baseline,0.18348623853211007,0.11076923076923076,0.1345565749235474,0.8108469247817993,0.8856998682022095,0.846622109413147,11.996355983131261,14.640471612903225,274
CVE-2020-8958,persona,0.22349570200573068,0.15561959654178675,0.15472779369627507,0.8127864003181458,0.8931674957275391,0.8510832786560059,12.01286524970964,14.640471612903225,290
CVE-2023-43661,baseline,0.29936305732484075,0.1474358974358974,0.2229299363057325,0.8315119743347168,0.9137380123138428,0.8706879615783691,11.574955803571429,11.534212653061225,259
CVE-2023-43661,persona,0.25787965616045844,0.10374639769452451,0.19484240687679083,0.8115583658218384,0.8924726247787476,0.8500944375991821,11.128476811594203,11.534212653061225,276
CVE-2021-21974,baseline,0.25336927223719674,0.16260162601626016,0.21563342318059298,0.8344457149505615,0.9061534404754639,0.8688225150108337,11.874408130897411,12.811439607843138,296
CVE-2021-21974,persona,0.2596685082872928,0.16111111111111112,0.21546961325966849,0.83249831199646,0.9034356474876404,0.8665175437927246,11.813690453834116,12.811439607843138,287
CVE-2021-22717,baseline,0.18571428571428572,0.06474820143884892,0.09285714285714286,0.8170695304870605,0.868939995765686,0.8422068953514099,11.896676531942635,13.805412500000001,239
CVE-2021-22717,persona,0.17747440273037546,0.05498281786941581,0.09556313993174062,0.8170055150985718,0.8706551194190979,0.8429775834083557,11.975094285714286,13.805412500000001,253
CVE-2020-8260,baseline,0.15436241610738258,0.07432432432432433,0.09395973154362416,0.8049696683883667,0.8973981142044067,0.8486747145652771,12.343222673581101,13.998223076923077,270
CVE-2020-8260,persona,0.15231788079470196,0.07333333333333333,0.09933774834437085,0.8074337244033813,0.8986685276031494,0.850611686706543,12.245007976156685,13.998223076923077,274
CVE-2023-44221,baseline,0.1966101694915254,0.0887372013651877,0.12881355932203392,0.821151852607727,0.9048261642456055,0.8609607815742493,12.650357397504457,16.468782352941176,258
CVE-2023-44221,persona,0.1557632398753894,0.05642633228840126,0.08722741433021806,0.8172509074211121,0.8841654062271118,0.8493923544883728,12.046756702253855,16.468782352941176,284
CVE-2020-8655,baseline,0.19808306709265175,0.08360128617363345,0.14696485623003197,0.815892219543457,0.8951473236083984,0.8536842465400696,11.81071001042753,13.9785,277
